en
't hooft anomaly
't hooft anomaly matching
't hooft-polyakov monopole
0-1 loss
0/1 knapsack
13c metabolic flux analysis
2-natural transformation
21-cm line
2175 å bump
2d pose estimation
2d toda hierarchy
3+1 decomposition
3d convolution
3d feature descriptor
3d gaussian
3d gaussian splatting
3d morphable model
3d object detection
3d point cloud processing
3d pose estimation
3d reconstruction
3d scene understanding
3d segmentation
3d stacking
3ω method
4000 å break
4π-periodic josephson effect
6-dof grasp
a posteriori error estimate
a priori error estimate
a priori estimate
a* algorithm
a* search
a-form rna
a-infinity algebra
a/b testing
aalen additive hazards model
ab initio
ab initio calculation
ab initio method
ab initio methods
ab initio molecular dynamics
ab initio prediction
ab initio shell model
ab magnitude
abc conjecture
abductive reasoning
abel prize
abel summation
abel-jacobi map
abel-jacobi theorem
abelian anyon
abelian category
abelian connection
abelian differential
abelian extension
abelian gauge theory
abelian group
abelian scheme
abelian surface
abelian variety
ablation pressure
ablation study
ablowitz-kaup-newell-segur scheme
ablowitz-ladik equation
ablowitz-ladik model
abnormal return
above-threshold ionization
abraham-lorentz force
abrikosov lattice
abrikosov vortex lattice
abrikosov-suhl resonance
abrupt climate change
absolute colimit
absolute continuity
absolute convergence
absolute error loss
absolute flux calibration
absolute instability
absolute limit
absolute magnitude
absolute neutrino mass
absolute performance
absolute space
absolute stability
absolute trajectory error
absolutely continuous function
absolutely continuous spectrum
absolutely summing operator
absorbed dose
absorbing state
absorption coefficient
absorption cross section
absorption feature
absorption imaging
absorption lines
absorption spectroscopy
abstract domain
abstract interpretation
abstract meaning representation
abstract syntax tree
abstraction heuristic
abstraction in planning
abstractive answer
abstractive qa
abstractive summarization
abundance determination
abundance distribution
abundance ratio
abyssal circulation
ac josephson effect
ac stark shift
ac-3 algorithm
accelerated expansion
accelerated failure time model
accelerated gradient method
acceleration mechanism
acceleration of convergence
acceleration techniques
acceleration time
accelerator mass spectrometry
accelerator neutrino
accelerator neutrino experiment
accelerator neutrinos
accelerator-centric design
acceptance correction
acceptance criteria
acceptance probability
acceptance rate
acceptance testing
accepting state
access control
access path
accessibility api
accessibility audit
accessibility relation
accessibility statement
accessible form labels
accessible modal dialogs
accessible name and description computation
accessible rich internet applications (aria) authoring practices
accommodation coefficient
accretion disk
accretion disk corona
accretion disk wind
accretion model
accretion rate
accretive operator
accumulator machine
achievable rate
achievable rate region
achlioptas process
achronal set
ackermann function
acoustic absorption
acoustic band gap
acoustic black hole
acoustic cloaking
acoustic cutoff frequency
acoustic doppler current profiler
acoustic echo
acoustic eigenmode
acoustic emission
acoustic event detection
acoustic feature
acoustic feature extraction
acoustic holography
acoustic imaging
acoustic impedance
acoustic impedance matching
acoustic impedance spectroscopy
acoustic impedance tomography
acoustic levitation
acoustic metamaterial
acoustic metamaterial absorber
acoustic mode
acoustic model
acoustic oscillations
acoustic peaks
acoustic power
acoustic radiation force
acoustic radiation impedance
acoustic reciprocity
acoustic scattering
acoustic scene
acoustic scene classification
acoustic streaming
acoustic tomography
acoustic wave
acoustic wave absorption
acoustic wave attenuation
acoustic wave diffraction
acoustic wave dispersion
acoustic wave energy density
acoustic wave equation
acoustic wave equation solution
acoustic wave impedance
acoustic wave intensity
acoustic wave interference
acoustic wave particle velocity
acoustic wave polarization
acoustic wave pressure
acoustic wave propagation
acoustic wave reflection
acoustic wave scattering
acoustic wave simulation
acoustic wave transmission
acoustic wave velocity
acoustic-structural coupling
acousto-optic effect
acquisition function
actin cytoskeleton
actin dynamics
actin filament
actin polymerization
action anticipation
action functional
action integral
action potential
action profile
action recognition
action selection
action set
action space
action table
action-angle coordinates
action-angle variables
activation checkpointing
activation energy
activation function
activation function relu
activation volume
activator-inhibitor model
active brownian motion
active brownian particle
active colloid
active colloids
active disturbance rejection control
active fluid
active galactic nucleus
active galactic nucleus (agn)
active galactic nucleus feedback
active gel
active glass
active illumination
active learning
active management
active margin
active matrix
active matter
active measurement
active mixing
active model b
active model h
active nematic
active nematic defect
active nematic defect motion
active nematic experiment
active nematic flow
active nematic instability
active nematic model
active nematic phase
active nematic simulation
active nematic turbulence
active nematics
active network
active neutrino
active noise control
active optics
active ornstein-uhlenbeck process
active particle
active polar fluid
active probing
active queue management (aqm)
active region
active return
active rheology
active set method
active site
active slam
active state
active stress
active transport
active turbulence
activity coefficient
activity index
activity level measurement
activity noise
actomyosin contractility
actor-critic methods
actor-critic model
actor-network theory
acuros xb
acyclic coloring
acyclic sheaf
acylindrical hyperbolicity
ad hoc network
ad hoc on-demand distance vector (aodv)
ad-hoc polymorphism
adam optimizer
adam-gibbs relation
adams operation
adams spectral sequence
adams-bashforth methods
adams-moulton methods
adapted process
adaptive adversary
adaptive approximation
adaptive automation
adaptive backstepping
adaptive beamforming
adaptive bitrate streaming
adaptive chosen-ciphertext attack
adaptive coding
adaptive consensus control
adaptive control
adaptive control of multi-agent systems
adaptive control of nonlinear systems
adaptive control of time-varying systems
adaptive control with actuator saturation
adaptive control with communication constraints
adaptive control with disturbance rejection
adaptive control with event-triggered mechanism
adaptive control with input constraints
adaptive control with prescribed performance
adaptive control with quantization
adaptive control with state constraints
adaptive control with time delays
adaptive control with unmodeled dynamics
adaptive cross approximation
adaptive cruise control
adaptive design
adaptive dynamic programming (adp)
adaptive dynamics
adaptive estimation
adaptive expectations
adaptive filter
adaptive fir filter
