rank,term,n_tokens,freq
1,"two dimensional",2,1576
2,"magnetic field",2,1226
3,"field theory",2,1165
4,"first order",2,1153
5,"standard model",2,1076
6,"high energy",2,931
7,"ground state",2,879
8,"new approach",2,778
9,"experimental data",2,732
10,"large scale",2,698
11,"non linear",2,662
12,"two dimensions",2,622
13,"large number",2,603
14,"low temperature",2,599
15,"low energy",2,573
16,"new physics",2,555
17,"two level",2,523
18,"general relativity",2,512
19,"long range",2,511
20,"time evolution",2,507
21,"gauge theory",2,505
22,"finite dimensional",2,489
23,"phys rev",2,486
24,"new class",2,482
25,"numerical simulations",2,478
26,"second order",2,476
27,"special case",2,473
28,"leading order",2,461
29,"non trivial",2,458
30,"space time",2,451
31,"dark energy",2,442
32,"high resolution",2,441
33,"non zero",2,438
34,"power law",2,435
35,"large class",2,426
36,"dark matter",2,426
37,"phase transition",2,422
38,"strong coupling",2,422
39,"physical properties",2,409
40,"three dimensional",2,404
41,"model independent",2,403
42,"dynamical systems",2,400
43,"phase transitions",2,399
44,"sufficient conditions",2,394
45,"low mass",2,387
46,"non local",2,368
47,"boundary conditions",2,366
48,"time dependent",2,365
49,"quantum mechanics",2,357
50,"fixed point",2,352
51,"high energies",2,344
52,"effective potential",2,344
53,"two types",2,343
54,"order parameter",2,338
55,"lower bound",2,336
56,"parameter space",2,335
57,"black hole",2,332
58,"mean field",2,331
59,"phase space",2,329
60,"data set",2,329
61,"higher order",2,327
62,"exact solutions",2,325
63,"real space",2,324
64,"single particle",2,318
65,"theoretical analysis",2,317
66,"stellar mass",2,304
67,"power spectrum",2,302
68,"cosmological models",2,296
69,"electronic structure",2,295
70,"monte carlo",2,295
71,"quantum gravity",2,289
72,"numerical methods",2,288
73,"scalar field",2,286
74,"energy distribution",2,285
75,"two component",2,285
76,"detailed analysis",2,284
77,"bound state",2,283
78,"phase diagram",2,279
79,"transition temperature",2,276
80,"asymptotic behavior",2,274
81,"symmetry breaking",2,273
82,"complex systems",2,273
83,"initial state",2,271
84,"optical spectra",2,269
85,"system size",2,268
86,"perturbation theory",2,266
